month,ballad,dance,hiphop,pop,rock,carol,sum
2019년 1월,4580340,3506013,2530997,1781670,433264,0,12832284
2019년 2월,5983086,5039213,3306147,2441981,563172,0,17333599
2019년 3월,7930240,6968901,5153241,3041281,2296628,0,25390291
2019년 4월,14700171,17289767,6208220,6488231,2541564,0,47227953
2019년 5월,14190101,18188894,6447376,6440902,2444351,0,47711624
2019년 6월,12654122,13172189,5232155,6014894,1164560,0,38237920
2019년 7월,10796347,11106577,6280753,7027246,1193829,0,36404752
2019년 8월,11164315,9920786,6034153,6296636,940801,0,34356691
2019년 9월,12817607,9089189,6217664,5947186,1963010,0,36034656
2019년 10월,13698109,10993654,6905381,4656590,5908256,84619,42246609
2019년 11월,14737404,11373791,7293055,6093062,5899834,257110,45654256
2019년 12월,14564714,11576156,8853884,6405432,4932374,521156,46853716
